Country,Continent,Country_latitude,Country_longitude,Continent_latitude,Continent_longitude
Andorra,Europe,42.546245,1.601554,54.526,15.2551
United Arab Emirates,Asia,23.424076,53.847818,34.0479,100.6197
Afghanistan,Asia,33.93911,67.709953,34.0479,100.6197
Antigua and Barbuda,North America,17.060816,-61.796428,54.526,-105.2551
Anguilla,North America,18.220554,-63.068615,54.526,-105.2551
Albania,Europe,41.153332,20.168331,54.526,15.2551
Armenia,Asia,40.069099,45.038189,34.0479,100.6197
Angola,Africa,-11.202692,17.873887,7.1881,21.0938
Argentina,South America,-38.416097,-63.616672,-14.235,-59.2551
American Samoa,Oceania,-14.270972,-170.132217,-14.235,141.2551
Austria,Europe,47.516231,14.550072,54.526,15.2551
Australia,Oceania,-25.274398,133.775136,-14.235,141.2551
Aruba,North America,12.52111,-69.968338,54.526,-105.2551
Azerbaijan,Asia,40.143105,47.576927,34.0479,100.6197
Bosnia and Herzegovina,Europe,43.915886,17.679076,54.526,15.2551
Barbados,North America,13.193887,-59.543198,54.526,-105.2551
Bangladesh,Asia,23.684994,90.356331,34.0479,100.6197
Belgium,Europe,50.503887,4.469936,54.526,15.2551
Burkina Faso,Africa,12.238333,-1.561593,7.1881,21.0938
Bulgaria,Europe,42.733883,25.48583,54.526,15.2551
Bahrain,Asia,25.930414,50.637772,34.0479,100.6197
Burundi,Africa,-3.373056,29.918886,7.1881,21.0938
Benin,Africa,9.30769,2.315834,7.1881,21.0938
Bermuda,North America,32.321384,-64.75737,54.526,-105.2551
Brunei,Asia,4.535277,114.727669,34.0479,100.6197
Brazil,South America,-14.235004,-51.92528,-14.235,-59.2551
Bahamas,North America,25.03428,-77.39628,54.526,-105.2551
Bhutan,Asia,27.514162,90.433601,34.0479,100.6197
Bouvet Island,Antarctica,-54.423199,3.413194,-82.8628,135.0
Botswana,Africa,-22.328474,24.684866,7.1881,21.0938
Belarus,Europe,53.709807,27.953389,54.526,15.2551
Belize,North America,17.189877,-88.49765,54.526,-105.2551
Canada,North America,56.130366,-106.346771,54.526,-105.2551
Central African Republic,Africa,6.611111,20.939444,7.1881,21.0938
Switzerland,Europe,46.818188,8.227512,54.526,15.2551
Côte d'Ivoire,Africa,7.539989,-5.54708,7.1881,21.0938
Cook Islands,Oceania,-21.236736,-159.777671,-14.235,141.2551
Chile,South America,-35.675147,-71.542969,-14.235,-59.2551
Cameroon,Africa,7.369722,12.354722,7.1881,21.0938
China,Asia,35.86166,104.195397,34.0479,100.6197
Colombia,South America,4.570868,-74.297333,-14.235,-59.2551
Costa Rica,North America,9.748917,-83.753428,54.526,-105.2551
Cuba,North America,21.521757,-77.781167,54.526,-105.2551
Cape Verde,Africa,16.002082,-24.013197,7.1881,21.0938
Christmas Island,Asia,-10.447525,105.690449,34.0479,100.6197
Cyprus,Asia,35.126413,33.429859,34.0479,100.6197
Czech Republic,Europe,49.817492,15.472962,54.526,15.2551
Germany,Europe,51.165691,10.451526,54.526,15.2551
Djibouti,Africa,11.825138,42.590275,7.1881,21.0938
Denmark,Europe,56.26392,9.501785,54.526,15.2551
Dominica,North America,15.414999,-61.370976,54.526,-105.2551
Dominican Republic,North America,18.735693,-70.162651,54.526,-105.2551
Algeria,Africa,28.033886,1.659626,7.1881,21.0938
Ecuador,South America,-1.831239,-78.183406,-14.235,-59.2551
Estonia,Europe,58.595272,25.013607,54.526,15.2551
Egypt,Africa,26.820553,30.802498,7.1881,21.0938
Eritrea,Africa,15.179384,39.782334,7.1881,21.0938
Spain,Europe,40.463667,-3.74922,54.526,15.2551
Ethiopia,Africa,9.145,40.489673,7.1881,21.0938
Finland,Europe,61.92411,25.748151,54.526,15.2551
Fiji,Oceania,-16.578193,179.414413,-14.235,141.2551
Faroe Islands,Europe,61.892635,-6.911806,54.526,15.2551
France,Europe,46.227638,2.213749,54.526,15.2551
Gabon,Africa,-0.803689,11.609444,7.1881,21.0938
Grenada,North America,12.262776,-61.604171,54.526,-105.2551
Georgia,Asia,42.315407,43.356892,34.0479,100.6197
French Guiana,South America,3.933889,-53.125782,-14.235,-59.2551
Guernsey,Europe,49.465691,-2.585278,54.526,15.2551
Ghana,Africa,7.946527,-1.023194,7.1881,21.0938
Gibraltar,Europe,36.137741,-5.345374,54.526,15.2551
Greenland,North America,71.706936,-42.604303,54.526,-105.2551
Gambia,Africa,13.443182,-15.310139,7.1881,21.0938
Guinea,Africa,9.945587,-9.696645,7.1881,21.0938
Guadeloupe,North America,16.995971,-62.067641,54.526,-105.2551
Equatorial Guinea,Africa,1.650801,10.267895,7.1881,21.0938
Greece,Europe,39.074208,21.824312,54.526,15.2551
South Georgia and the South Sandwich Islands,South America,-54.429579,-36.587909,-14.235,-59.2551
Guatemala,North America,15.783471,-90.230759,54.526,-105.2551
Guam,Oceania,13.444304,144.793731,-14.235,141.2551
Guinea-Bissau,Africa,11.803749,-15.180413,7.1881,21.0938
Guyana,South America,4.860416,-58.93018,-14.235,-59.2551
Hong Kong,Asia,22.396428,114.109497,34.0479,100.6197
Heard Island and McDonald Islands,Antarctica,-53.08181,73.504158,-82.8628,135.0
Honduras,North America,15.199999,-86.241905,54.526,-105.2551
Croatia,Europe,45.1,15.2,54.526,15.2551
Haiti,North America,18.971187,-72.285215,54.526,-105.2551
Hungary,Europe,47.162494,19.503304,54.526,15.2551
Indonesia,Asia,-0.789275,113.921327,34.0479,100.6197
Ireland,Europe,53.41291,-8.24389,54.526,15.2551
Israel,Asia,31.046051,34.851612,34.0479,100.6197
Isle of Man,Europe,54.236107,-4.548056,54.526,15.2551
India,Asia,20.593684,78.96288,34.0479,100.6197
British Indian Ocean Territory,Asia,-6.343194,71.876519,34.0479,100.6197
Iraq,Asia,33.223191,43.679291,34.0479,100.6197
Iran,Asia,32.427908,53.688046,34.0479,100.6197
Iceland,Europe,64.963051,-19.020835,54.526,15.2551
Italy,Europe,41.87194,12.56738,54.526,15.2551
Jersey,Europe,49.214439,-2.13125,54.526,15.2551
Jamaica,North America,18.109581,-77.297508,54.526,-105.2551
Jordan,Asia,30.585164,36.238414,34.0479,100.6197
Japan,Asia,36.204824,138.252924,34.0479,100.6197
Kenya,Africa,-0.023559,37.906193,7.1881,21.0938
Kyrgyzstan,Asia,41.20438,74.766098,34.0479,100.6197
Cambodia,Asia,12.565679,104.990963,34.0479,100.6197
Kiribati,Oceania,-3.370417,-168.734039,-14.235,141.2551
Comoros,Africa,-11.875001,43.872219,7.1881,21.0938
Saint Kitts and Nevis,North America,17.357822,-62.782998,54.526,-105.2551
North Korea,Asia,40.339852,127.510093,34.0479,100.6197
South Korea,Asia,35.907757,127.766922,34.0479,100.6197
Kuwait,Asia,29.31166,47.481766,34.0479,100.6197
Cayman Islands,North America,19.513469,-80.566956,54.526,-105.2551
Kazakhstan,Asia,48.019573,66.923684,34.0479,100.6197
Lebanon,Asia,33.854721,35.862285,34.0479,100.6197
Saint Lucia,North America,13.909444,-60.978893,54.526,-105.2551
Liechtenstein,Europe,47.166,9.555373,54.526,15.2551
Sri Lanka,Asia,7.873054,80.771797,34.0479,100.6197
Liberia,Africa,6.428055,-9.429499,7.1881,21.0938
Lesotho,Africa,-29.609988,28.233608,7.1881,21.0938
Lithuania,Europe,55.169438,23.881275,54.526,15.2551
Luxembourg,Europe,49.815273,6.129583,54.526,15.2551
Latvia,Europe,56.879635,24.603189,54.526,15.2551
Libya,Africa,26.3351,17.228331,7.1881,21.0938
Morocco,Africa,31.791702,-7.09262,7.1881,21.0938
Monaco,Europe,43.750298,7.412841,54.526,15.2551
Montenegro,Europe,42.708678,19.37439,54.526,15.2551
Madagascar,Africa,-18.766947,46.869107,7.1881,21.0938
Marshall Islands,Oceania,7.131474,171.184478,-14.235,141.2551
Mali,Africa,17.570692,-3.996166,7.1881,21.0938
Mongolia,Asia,46.862496,103.846656,34.0479,100.6197
Northern Mariana Islands,Oceania,17.33083,145.38469,-14.235,141.2551
Martinique,North America,14.641528,-61.024174,54.526,-105.2551
Mauritania,Africa,21.00789,-10.940835,7.1881,21.0938
Montserrat,North America,16.742498,-62.187366,54.526,-105.2551
Malta,Europe,35.937496,14.375416,54.526,15.2551
Mauritius,Africa,-20.348404,57.552152,7.1881,21.0938
Maldives,Asia,3.202778,73.22068,34.0479,100.6197
Malawi,Africa,-13.254308,34.301525,7.1881,21.0938
Mexico,North America,23.634501,-102.552784,54.526,-105.2551
Malaysia,Asia,4.210484,101.975766,34.0479,100.6197
Mozambique,Africa,-18.665695,35.529562,7.1881,21.0938
Namibia,Africa,-22.95764,18.49041,7.1881,21.0938
New Caledonia,Oceania,-20.904305,165.618042,-14.235,141.2551
Niger,Africa,17.607789,8.081666,7.1881,21.0938
Norfolk Island,Oceania,-29.040835,167.954712,-14.235,141.2551
Nigeria,Africa,9.081999,8.675277,7.1881,21.0938
Nicaragua,North America,12.865416,-85.207229,54.526,-105.2551
Netherlands,Europe,52.132633,5.291266,54.526,15.2551
Norway,Europe,60.472024,8.468946,54.526,15.2551
Nepal,Asia,28.394857,84.124008,34.0479,100.6197
Nauru,Oceania,-0.522778,166.931503,-14.235,141.2551
Niue,Oceania,-19.054445,-169.867233,-14.235,141.2551
New Zealand,Oceania,-40.900557,174.885971,-14.235,141.2551
Oman,Asia,21.512583,55.923255,34.0479,100.6197
Panama,North America,8.537981,-80.782127,54.526,-105.2551
Peru,South America,-9.189967,-75.015152,-14.235,-59.2551
French Polynesia,Oceania,-17.679742,-149.406843,-14.235,141.2551
Papua New Guinea,Oceania,-6.314993,143.95555,-14.235,141.2551
Philippines,Asia,12.879721,121.774017,34.0479,100.6197
Pakistan,Asia,30.375321,69.345116,34.0479,100.6197
Poland,Europe,51.919438,19.145136,54.526,15.2551
Saint Pierre and Miquelon,North America,46.941936,-56.27111,54.526,-105.2551
Puerto Rico,North America,18.220833,-66.590149,54.526,-105.2551
Portugal,Europe,39.399872,-8.224454,54.526,15.2551
Palau,Oceania,7.51498,134.58252,-14.235,141.2551
Paraguay,South America,-23.442503,-58.443832,-14.235,-59.2551
Qatar,Asia,25.354826,51.183884,34.0479,100.6197
Réunion,Africa,-21.115141,55.536384,7.1881,21.0938
Romania,Europe,45.943161,24.96676,54.526,15.2551
Serbia,Europe,44.016521,21.005859,54.526,15.2551
Russia,Europe,61.52401,105.318756,54.526,15.2551
Rwanda,Africa,-1.940278,29.873888,7.1881,21.0938
Saudi Arabia,Asia,23.885942,45.079162,34.0479,100.6197
Solomon Islands,Oceania,-9.64571,160.156194,-14.235,141.2551
Seychelles,Africa,-4.679574,55.491977,7.1881,21.0938
Sudan,Africa,12.862807,30.217636,7.1881,21.0938
Sweden,Europe,60.128161,18.643501,54.526,15.2551
Singapore,Asia,1.352083,103.819836,34.0479,100.6197
